site,count,original,beverage,trend,seasonal,random,season_adjust,intervention
A,25,190,Zero-calorie,600.8571428571429,-395.6351766513057,-15.221966205837134,585.6351766513058,dismes
A,26,703,Zero-calorie,600.2857142857143,141.4662058371736,-38.751920122887896,561.5337941628264,dismes
A,27,799,Zero-calorie,596.4285714285713,189.1758832565284,13.395545314900232,609.8241167434716,dismes
A,28,839,Zero-calorie,592.2857142857142,175.47081413210446,71.24347158218131,663.5291858678955,dismes
A,29,743,Zero-calorie,591.1428571428571,185.07910906298002,-33.221966205837134,557.92089093702,dismes
A,30,684,Zero-calorie,591.2857142857142,81.29539170506914,11.418894009216615,602.7046082949308,dismes
A,31,188,Zero-calorie,583.5714285714286,-376.8522273425499,-18.71920122887866,564.8522273425499,dismes
A,32,182,Zero-calorie,570,-395.6351766513057,7.6351766513057555,577.6351766513058,dismes
A,33,704,Zero-calorie,585.9999999999999,141.4662058371736,-23.466205837173447,562.5337941628264,dismes
A,34,745,Zero-calorie,590.7142857142857,189.1758832565284,-34.8901689708141,555.8241167434716,dismes
A,35,744,Zero-calorie,594.7142857142857,175.47081413210446,-26.18509984639013,568.5291858678955,dismes
A,36,855,Zero-calorie,602.5714285714284,185.07910906298002,67.34946236559153,669.92089093702,dismes
A,37,717,Zero-calorie,611.7142857142857,81.29539170506914,23.99032258064517,635.7046082949308,dismes
A,38,216,Zero-calorie,617.7142857142856,-376.8522273425499,-24.862058371735657,592.8522273425499,dismes
A,39,237,Zero-calorie,599.4285714285713,-395.6351766513057,33.206605222734424,632.6351766513058,dismes
A,40,768,Zero-calorie,510.8571428571428,141.4662058371736,115.67665130568366,626.5337941628264,dismes
A,41,787,Zero-calorie,454.71428571428567,189.1758832565284,143.1098310291859,597.8241167434716,dismes
A,42,616,Zero-calorie,445.71428571428567,175.47081413210446,-5.1850998463901306,440.52918586789554,dismes
A,43,235,Zero-calorie,433.85714285714283,185.07910906298002,-383.93625192012286,49.920890937019976,wash
A,44,324,Zero-calorie,421.71428571428567,81.29539170506914,-179.0096774193548,242.70460829493086,wash
A,45,153,Zero-calorie,417.7142857142857,-376.8522273425499,112.13794162826417,529.8522273425499,wash
A,46,154,Zero-calorie,419.99999999999994,-395.6351766513057,129.6351766513058,549.6351766513058,wash
A,47,683,Zero-calorie,529.1428571428571,141.4662058371736,12.390937019969329,541.5337941628264,wash
A,48,759,Zero-calorie,594.7142857142857,189.1758832565284,-24.890168970814102,569.8241167434716,wash
A,49,632,Zero-calorie,603.7142857142857,175.47081413210446,-147.18509984639013,456.52918586789554,wash
A,50,999,Zero-calorie,608.7142857142857,185.07910906298002,205.2066052227343,813.92089093702,dis
A,51,783,Zero-calorie,617.8571428571428,81.29539170506914,83.84746543778806,701.7046082949308,dis
A,52,216,Zero-calorie,614.1428571428571,-376.8522273425499,-21.290629800307215,592.8522273425499,dis
A,53,189,Zero-calorie,638.5714285714284,-395.6351766513057,-53.936251920122686,584.6351766513058,dis
A,54,747,Zero-calorie,611.2857142857142,141.4662058371736,-5.751920122887782,605.5337941628264,dis
A,55,733,Zero-calorie,542.4285714285714,189.1758832565284,1.3955453149001187,543.8241167434716,dis
A,56,803,Zero-calorie,537.7142857142858,175.47081413210446,89.81490015360976,627.5291858678955,dis
A,57,808,Zero-calorie,537.7142857142857,185.07910906298002,85.20660522273431,622.92089093702,dis
A,58,301,Zero-calorie,548.5714285714286,81.29539170506914,-328.8668202764977,219.70460829493086,dis
A,59,183,Zero-calorie,552,-376.8522273425499,7.852227342549895,559.8522273425499,dis
A,60,189,Zero-calorie,538.8571428571429,-395.6351766513057,45.778033794162866,584.6351766513058,dis
A,61,823,Zero-calorie,537.1428571428571,141.4662058371736,144.39093701996933,681.5337941628264,dis
A,62,757,Zero-calorie,592.4285714285713,189.1758832565284,-24.604454685099768,567.8241167434716,dis
A,63,711,Zero-calorie,591.2857142857142,175.47081413210446,-55.756528417818686,535.5291858678955,dis
A,64,796,Zero-calorie,587.7142857142857,185.07910906298002,23.20660522273431,610.92089093702,dis
A,65,688,Zero-calorie,566.4285714285714,81.29539170506914,40.27603686635939,606.7046082949308,dis
A,66,175,Zero-calorie,562.1428571428571,-376.8522273425499,-10.290629800307215,551.8522273425499,dis
A,67,164,Zero-calorie,548.8571428571428,-395.6351766513057,10.77803379416298,559.6351766513058,dis
A,68,674,Zero-calorie,472.57142857142856,141.4662058371736,59.962365591397884,532.5337941628264,dis
A,69,727,Zero-calorie,403.1428571428571,189.1758832565284,134.68125960061445,537.8241167434716,dis
A,70,618,Zero-calorie,403.71428571428567,175.47081413210446,38.81490015360987,442.52918586789554,dis
A,71,262,Zero-calorie,404.99999999999994,185.07910906298002,-328.07910906297997,76.92089093701998,wash
A,72,202,Zero-calorie,388.5714285714285,81.29539170506914,-267.8668202764976,120.70460829493086,wash
A,73,179,Zero-calorie,375.99999999999994,-376.8522273425499,179.85222734254995,555.8522273425499,wash
A,74,173,Zero-calorie,383.1428571428571,-395.6351766513057,185.49231950844865,568.6351766513058,wash
A,75,559,Zero-calorie,403.42857142857133,141.4662058371736,14.105222734255108,417.53379416282644,wash
A,76,639,Zero-calorie,410.5714285714285,189.1758832565284,39.252688172043065,449.82411674347156,wash
A,77,668,Zero-calorie,416.71428571428567,175.47081413210446,75.81490015360987,492.52918586789554,wash
A,78,404,Zero-calorie,416.14285714285705,185.07910906298002,-197.22196620583708,218.92089093701998,wash2
A,79,252,Zero-calorie,445.2857142857143,81.29539170506914,-274.5811059907834,170.70460829493086,wash2
A,80,222,Zero-calorie,471.8571428571428,-376.8522273425499,126.99508448540712,598.8522273425499,wash2
A,81,169,Zero-calorie,494.00000000000006,-395.6351766513057,70.6351766513057,564.6351766513058,wash2
A,82,763,Zero-calorie,552.5714285714286,141.4662058371736,68.96236559139788,621.5337941628264,wash2
A,83,825,Zero-calorie,618.4285714285712,189.1758832565284,17.395545314900346,635.8241167434716,wash2
A,84,823,Zero-calorie,616.1428571428571,175.47081413210446,31.386328725038425,647.5291858678955,wash2
A,85,814,Zero-calorie,618.1428571428571,185.07910906298002,10.778033794162866,628.92089093702,follow
A,86,713,Zero-calorie,610.8571428571428,81.29539170506914,20.84746543778806,631.7046082949308,follow
A,87,206,Zero-calorie,598.2857142857142,-376.8522273425499,-15.433486943164326,582.8522273425499,follow
