site,count,original,beverage,trend,seasonal,random,season_adjust,intervention
HF,14,0.05892700087950747,Zero-calorie,NA,0.00632749412696979,NA,0.05259950675253768,preint
HF,15,0.08607068607068608,Zero-calorie,NA,-0.00321365395271808,NA,0.08928434002340416,preint
HF,16,0.07060981201283814,Zero-calorie,NA,0.00239537688574331,NA,0.06821443512709482,preint
HF,17,0.07971014492753623,Zero-calorie,0.07683034082047795,-0.00262918688316839,0.00550899099022668,0.08233933181070463,preint
HF,18,0.0853462157809984,Zero-calorie,0.08298119824238562,-0.00402462088559356,0.00638963842420634,0.08937083666659196,preint
HF,19,0.07323813910640257,Zero-calorie,0.08594539298965351,0.00394819212851988,-0.01665544601177082,0.06928994697788268,preint
HF,20,0.08391038696537678,Zero-calorie,0.09002241072642131,-0.00280360141975294,-0.00330842234129158,0.08671398838512973,preint
HF,21,0.1019830028328612,Zero-calorie,0.08997001363007012,0.00632749412696979,0.00568549507582127,0.0956555087058914,preint
HF,22,0.10682004930156122,Zero-calorie,0.08880204251941762,-0.00321365395271808,0.02123166073486168,0.1100337032542793,dismes
HF,23,0.09914893617021275,Zero-calorie,0.09118203032614232,0.00239537688574331,0.00557152895832713,0.09675355928446944,dismes
HF,24,0.07934336525307797,Zero-calorie,0.09325358896543472,-0.00262918688316839,-0.01128103682918835,0.08197255213624638,dismes
HF,25,0.07717041800643087,Zero-calorie,0.0947366492982674,-0.00402462088559356,-0.01354161040624295,0.08119503889202444,dismes
HF,26,0.08989805375347544,Zero-calorie,0.0951305310755989,0.00394819212851988,-0.00918066945064335,0.08594986162495555,dismes
HF,27,0.09841129744042364,Zero-calorie,0.09693092061859351,-0.00280360141975294,0.00428397824158306,0.1012148988601766,dismes
HF,28,0.1123644251626898,Zero-calorie,0.09648262382727402,0.00632749412696979,0.00955430720844599,0.10603693103572,dismes
HF,29,0.1095772217428818,Zero-calorie,0.09879462559489058,-0.00321365395271808,0.0139962501007093,0.11279087569559988,dismes
HF,30,0.11175166297117516,Zero-calorie,0.09694591771995484,0.00239537688574331,0.01241036836547701,0.10935628608543184,dismes
HF,31,0.07620528771384137,Zero-calorie,0.09500942763261865,-0.00262918688316839,-0.01617495303560887,0.07883447459700978,dismes
HF,32,0.09335443037974683,Zero-calorie,0.09239600137697164,-0.00402462088559356,0.00498304988836874,0.0973790512653404,dismes
HF,33,0.07695709862892526,Zero-calorie,0.08916447280500717,0.00394819212851988,-0.0161555663046018,0.07300890650040537,dismes
HF,34,0.08485586682907025,Zero-calorie,0.088462464785926,-0.00280360141975294,-8.029965371028069e-4,0.08765946824882319,dismes
HF,35,0.09407044137316097,Zero-calorie,0.08897874898515347,0.00632749412696979,-0.0012358017389623,0.08774294724619117,dismes
HF,36,0.08695652173913043,Zero-calorie,0.08758471814676692,-0.00321365395271808,0.00258545754508159,0.09017017569184851,dismes
HF,37,0.10683760683760685,Zero-calorie,0.0903547086231305,0.00239537688574331,0.01408752132873301,0.10444222995186352,dismes
HF,38,0.07981927710843373,Zero-calorie,0.0936509441359065,-0.00262918688316839,-0.01120248014430436,0.08244846399160213,dismes
HF,39,0.083596214511041,Zero-calorie,0.09497221080943943,-0.00402462088559356,-0.00735137541280486,0.08762083539663457,dismes
